"table_schema","table_name","model_title","column_name","ordinal_position","is_nullable","data_type","character_maximum_length","numeric_precision","numeric_scale","foreign_table_name","foreign_model_title"
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","id",1,"NO","integer","",32,0,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","cpfbenef",2,"NO","character varying","11",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","nisbenef",3,"YES","character varying","11",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","nmbenefic",4,"NO","character varying","70",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","dtinicio",5,"NO","date","",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","sexo",6,"NO","character varying","1",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","racacor",7,"NO","integer","",32,0,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","estciv",8,"YES","integer","",32,0,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","incfismen",9,"NO","character varying","1",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","dtincfismen",10,"YES","character varying","1",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","dtnascto",11,"NO","date","",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","paisnascto",12,"YES","character varying","3",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","paisnac",13,"NO","character varying","3",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","nmmae",14,"YES","character varying","70",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","nmpai",15,"YES","character varying","70",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","tplograd",16,"NO","character varying","4",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","dsclograd",17,"NO","character varying","80",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","nrlograd",18,"NO","character varying","10",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","complemento",19,"YES","character varying","30",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","bairro",20,"YES","character varying","60",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","cep",21,"NO","character varying","8",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","codmunic",22,"NO","integer","",32,0,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","uf",23,"NO","character varying","2",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","paisresid",24,"NO","character varying","3",NULL,NULL,"",""
"public","aposentados_pensionistas_beneficiarios","AposentadosPensionistasBeneficiarios","nmcid",25,"NO","character varying","50",NULL,NULL,"",""
